epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.32986,1.0105,2.79442,1.26298,1,0.15405,0.77588,0.55233,0.76323,2.7531,1.05897,0.00022,0.00022,0.00022
2,8.78029,0.95951,1.73899,1.22231,1,0.1833,0.68737,0.5025,0.88425,2.81379,1.18851,0.000455446,0.000455446,0.000455446
3,11.8666,1.00451,1.53451,1.22509,1,0.11072,0.57032,0.38516,1.14671,3.04894,1.46443,0.00068614,0.00068614,0.00068614
4,14.8576,1.02327,1.48768,1.23033,0.72494,0.36765,0.52162,0.31114,1.29654,2.64552,1.48122,0.000912082,0.000912082,0.000912082
5,17.9346,1.04129,1.47668,1.22443,0.53957,0.29412,0.33245,0.16712,1.61257,2.79487,2.02485,0.00113327,0.00113327,0.00113327
6,20.9064,1.12885,1.4994,1.31031,0.14434,0.13971,0.04864,0.01522,2.17483,3.81434,2.60433,0.00134971,0.00134971,0.00134971
7,23.904,1.14534,1.4243,1.29941,0.04127,0.06618,0.02058,0.01041,2.17039,11.4042,2.63678,0.0015614,0.0015614,0.0015614
8,26.959,1.18915,1.35414,1.33648,0.26855,0.28676,0.21006,0.07937,1.87131,7.5862,2.58921,0.00176833,0.00176833,0.00176833
9,29.8421,1.19728,1.34275,1.35631,0.23511,0.22059,0.12967,0.04784,2.17467,11.6242,2.75219,0.0018416,0.0018416,0.0018416
10,32.7362,1.19941,1.31426,1.35305,0.12591,0.19853,0.08713,0.02143,2.47379,5.24323,3.03536,0.0018218,0.0018218,0.0018218
11,35.5887,1.1703,1.27416,1.3408,0.3452,0.40441,0.27873,0.13721,1.79253,3.58647,2.13674,0.001802,0.001802,0.001802
12,38.6414,1.157,1.20722,1.31315,0.55421,0.49265,0.48593,0.2703,1.54136,2.38582,1.87432,0.0017822,0.0017822,0.0017822
13,41.6213,1.1528,1.16531,1.32853,0.40389,0.21324,0.22201,0.11533,2.36427,7.10404,2.96331,0.0017624,0.0017624,0.0017624
14,44.7802,1.13223,1.14936,1.31312,0.47359,0.36765,0.32565,0.16714,1.81859,9.14899,2.0009,0.0017426,0.0017426,0.0017426
15,47.7572,1.09148,1.07735,1.2926,0.75809,0.66912,0.77457,0.48573,1.28345,3.54923,1.50857,0.0017228,0.0017228,0.0017228
16,50.699,1.08377,1.08203,1.2853,0.6521,0.65441,0.6763,0.4267,1.34898,1.68275,1.63929,0.001703,0.001703,0.001703
17,53.6028,1.09614,1.06433,1.28243,0.70996,0.63971,0.70379,0.43154,1.2746,1.43619,1.57167,0.0016832,0.0016832,0.0016832
18,56.5484,1.06381,1.03412,1.26051,0.78577,0.63971,0.77772,0.51873,1.17736,1.49984,1.47301,0.0016634,0.0016634,0.0016634
19,59.5721,1.01188,1.00091,1.24707,0.78042,0.65441,0.74962,0.47377,1.24204,1.48657,1.5154,0.0016436,0.0016436,0.0016436
