epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.67848,1.0105,2.79442,1.26298,1,0.15405,0.77588,0.55233,0.76323,2.7531,1.05897,0.00022,0.00022,0.00022
2,6.89426,0.95247,1.73125,1.21595,1,0.15999,0.68521,0.51136,0.91069,2.84358,1.16679,0.000450892,0.000450892,0.000450892
3,9.93441,0.9997,1.51831,1.22604,1,0.12198,0.47909,0.3262,1.20324,3.1536,1.47471,0.00067228,0.00067228,0.00067228
4,12.883,1.02653,1.49263,1.2234,0.83729,0.29412,0.47704,0.27666,1.29611,2.95424,1.58673,0.000884164,0.000884164,0.000884164
5,15.8428,1.0489,1.49035,1.24357,0.38455,0.31618,0.35591,0.1548,1.67173,2.7924,2.13166,0.00108654,0.00108654,0.00108654
6,18.7767,1.11699,1.47936,1.2907,0.79079,0.22238,0.35711,0.18943,1.91036,2.69185,2.03033,0.00127942,0.00127942,0.00127942
7,21.7104,1.11572,1.36173,1.26826,0.28112,0.18382,0.16402,0.08183,1.83876,3.06809,2.0997,0.00146279,0.00146279,0.00146279
8,24.6832,1.16695,1.32697,1.30602,0.39899,0.44422,0.35202,0.15982,1.69136,3.46917,2.06835,0.00163666,0.00163666,0.00163666
9,27.5473,1.16573,1.31707,1.32685,0.54347,0.47794,0.43156,0.22609,1.76893,1.89992,1.95459,0.0016832,0.0016832,0.0016832
10,30.4049,1.16325,1.27354,1.30706,0.35206,0.34559,0.3024,0.17685,1.6323,3.19879,2.07434,0.0016436,0.0016436,0.0016436
11,33.2851,1.13425,1.20298,1.31113,0.0354,0.24265,0.02691,0.00971,2.33625,10.9898,3.41883,0.001604,0.001604,0.001604
12,36.2118,1.10225,1.14438,1.29034,0.48765,0.54589,0.4917,0.29398,1.44662,1.93784,1.67512,0.0015644,0.0015644,0.0015644
13,39.0504,1.08062,1.11972,1.27433,0.42792,0.38501,0.41746,0.2482,1.46728,2.10122,1.66562,0.0015248,0.0015248,0.0015248
14,41.9354,1.053,1.08054,1.24803,0.62435,0.61105,0.67379,0.42048,1.34848,1.65997,1.54456,0.0014852,0.0014852,0.0014852
15,44.8485,1.04831,1.06779,1.26693,0.60007,0.56267,0.60059,0.34312,1.49525,2.09357,1.616,0.0014456,0.0014456,0.0014456
16,47.7842,1.02705,1.02215,1.25012,0.8371,0.68016,0.75213,0.47258,1.23666,1.3596,1.53404,0.001406,0.001406,0.001406
17,50.6889,1.04319,1.01307,1.24739,0.82711,0.84559,0.88789,0.59475,1.05868,1.12806,1.35616,0.0013664,0.0013664,0.0013664
18,53.6293,1.01948,0.96635,1.20779,0.7919,0.72752,0.80406,0.52056,1.093,2.28945,1.34332,0.0013268,0.0013268,0.0013268
19,56.7422,0.9909,0.94571,1.22324,0.89063,0.80882,0.88972,0.58142,1.08045,1.69923,1.30059,0.0012872,0.0012872,0.0012872
20,59.727,0.96614,0.89627,1.21096,0.77562,0.68382,0.75691,0.53092,1.13513,1.71742,1.38354,0.0012476,0.0012476,0.0012476
21,62.6202,0.9525,0.88792,1.2091,0.84879,0.83088,0.87722,0.63414,1.03019,0.8471,1.31858,0.001208,0.001208,0.001208
22,65.5775,0.9467,0.87569,1.18852,0.82983,0.72794,0.82581,0.58604,1.06675,0.95129,1.30876,0.0011684,0.0011684,0.0011684
23,68.4615,0.94434,0.8708,1.18653,0.92978,0.80147,0.89888,0.6364,1.04139,0.96296,1.30935,0.0011288,0.0011288,0.0011288
24,71.3862,0.93853,0.85128,1.18792,0.81872,0.79412,0.85898,0.63592,0.94778,0.99684,1.24227,0.0010892,0.0010892,0.0010892
25,74.3143,0.89754,0.82024,1.16807,0.89264,0.85589,0.91957,0.6633,0.96477,0.75455,1.26348,0.0010496,0.0010496,0.0010496
26,77.2501,0.86417,0.78937,1.15193,0.92927,0.88235,0.94232,0.71533,0.86218,0.7036,1.16053,0.00101,0.00101,0.00101
27,80.2342,0.88078,0.81029,1.16014,0.88705,0.85294,0.91596,0.66614,0.90765,0.83694,1.23458,0.0009704,0.0009704,0.0009704
28,83.1409,0.8577,0.74258,1.14353,0.92573,0.84559,0.91841,0.67734,0.896,0.73156,1.2032,0.0009308,0.0009308,0.0009308
29,86.0363,0.84111,0.77009,1.14152,0.95081,0.88235,0.95831,0.73739,0.85273,0.62489,1.15798,0.0008912,0.0008912,0.0008912
30,89.029,0.82485,0.72958,1.13939,0.89191,0.91006,0.9441,0.71967,0.82476,0.68143,1.13079,0.0008516,0.0008516,0.0008516
31,91.95,0.82826,0.71198,1.12747,0.93102,0.89322,0.93819,0.70357,0.93646,0.71171,1.22339,0.000812,0.000812,0.000812
32,94.8461,0.83053,0.70839,1.12897,0.97522,0.86804,0.96495,0.70979,0.9358,0.68501,1.21427,0.0007724,0.0007724,0.0007724
33,97.9058,0.80011,0.68874,1.092,0.93708,0.87612,0.96247,0.71115,0.87016,0.65717,1.16316,0.0007328,0.0007328,0.0007328
34,100.977,0.79461,0.6903,1.10906,0.93944,0.86029,0.96568,0.73408,0.85442,0.63139,1.16449,0.0006932,0.0006932,0.0006932
35,103.972,0.76725,0.65938,1.09703,0.90326,0.90441,0.94839,0.74145,0.81782,0.59046,1.15738,0.0006536,0.0006536,0.0006536
36,107.003,0.77766,0.68492,1.10706,0.96025,0.88815,0.96164,0.73161,0.84718,0.54437,1.17774,0.000614,0.000614,0.000614
37,109.966,0.7649,0.67037,1.09211,0.87997,0.91176,0.93275,0.71761,0.8101,0.71464,1.16831,0.0005744,0.0005744,0.0005744
38,113.029,0.76435,0.6498,1.08212,0.96658,0.85068,0.95179,0.72713,0.85738,0.59677,1.15756,0.0005348,0.0005348,0.0005348
39,116.494,0.75876,0.65674,1.08895,0.95377,0.91028,0.97934,0.74975,0.81323,0.55539,1.12167,0.0004952,0.0004952,0.0004952
40,121.146,0.72076,0.62178,1.08389,0.94091,0.9367,0.9844,0.77283,0.80234,0.50932,1.11601,0.0004556,0.0004556,0.0004556
41,135.541,0.57752,0.45645,0.96356,0.98129,0.89706,0.9709,0.74389,0.83162,0.56504,1.15763,0.000416,0.000416,0.000416
42,138.935,0.54964,0.42808,0.94859,0.959,0.91912,0.97231,0.77151,0.7891,0.54706,1.1325,0.0003764,0.0003764,0.0003764
43,143.169,0.54421,0.41222,0.94133,0.98349,0.87609,0.97644,0.78102,0.76164,0.54176,1.10496,0.0003368,0.0003368,0.0003368
44,146.256,0.52931,0.4083,0.93543,0.96894,0.93382,0.98093,0.76715,0.75991,0.5147,1.10746,0.0002972,0.0002972,0.0002972
45,149.154,0.53837,0.39927,0.92471,0.97486,0.93382,0.97484,0.77418,0.75184,0.48767,1.11451,0.0002576,0.0002576,0.0002576
46,152.181,0.51958,0.37945,0.92567,0.92574,0.94853,0.9822,0.78484,0.7454,0.49825,1.0968,0.000218,0.000218,0.000218
47,154.983,0.50069,0.36811,0.91681,0.98261,0.93382,0.98801,0.80048,0.72125,0.45398,1.08018,0.0001784,0.0001784,0.0001784
48,157.786,0.4905,0.36122,0.90212,0.95429,0.92096,0.98386,0.79423,0.71178,0.47507,1.08254,0.0001388,0.0001388,0.0001388
49,160.713,0.48831,0.35604,0.9092,0.94759,0.95588,0.98207,0.79534,0.70448,0.46101,1.07617,9.92e-05,9.92e-05,9.92e-05
50,163.673,0.46686,0.35068,0.899,0.98189,0.92647,0.98516,0.8064,0.69991,0.44817,1.06857,5.96e-05,5.96e-05,5.96e-05
